Source,Target,Weight
KEGS,MULLY,4
LEAF,MEERA,4
LITTLEFINGER,NED,4
LOCKE,RAMSAY,4
LORAS,OBERYN,4
LYSA,NED,4
LYSA,YOHN_ROYCE,4
MANCE,TORMUND,4
MERYN_TRANT,ROOSE_BOLTON,4
MERYN_TRANT,TYWIN,4
MORAG,SISSY,4
MORGAN,TYRION,4
MYRANDA,THEON,4
MYRANDA,YARA,4
OBERYN,SANSA,4
PODRICK,SANSA,4
PYCELLE,TOMMEN,4
SAM,STYR,4
SANSA,TOMMEN,4
AERYS,TYRION,3
ALLISER_THORNE,OLLY,3
ALLISER_THORNE,QHORIN,3
ANYA_WAYNWOOD,LYSA,3
ARYA,CATELYN,3
ARYA,HOT_PIE,3
ARYA,JOFFREY,3
ARYA,NED,3
ARYA,PODRICK,3
ARYA,SANSA,3
BRAN,NED,3
BRAN,RAMSAY,3
BRONN,ELLARIA,3
BRONN,LOLLYS,3
BRONN,MOUNTAIN,3
BRONN,SHAE,3
CATELYN,HOSTER,3
CATELYN,JAIME,3
CATELYN,TYRION,3
CERSEI,NED,3
CERSEI,OLENNA,3
CERSEI,PODRICK,3
CERSEI,ROBERT,3
COOPER,DONNEL_HILL,3
CRASTER,JOJEN,3
CRASTER,MEERA,3
CRASTER,SAM,3
DONNEL_WAYNWOOD,HOUND,3
DORAN,TYRION,3
EDDISON_TOLLETT,OLLY,3
ELLARIA,JOFFREY,3
ELLARIA,LORAS,3
GILLY,TORMUND,3
HODOR,LEAF,3
HODOR,RAST,3
HOSTER,LYSA,3
HOUND,SYRIO_FOREL,3
JAIME,MERYN_TRANT,3
JAIME,OLENNA,3
JAIME,STANNIS,3
JOFFREY,LORAS,3
JOFFREY,MOUNTAIN,3
JOFFREY,RENLY,3
JOFFREY,STANNIS,3
JOJEN,LEAF,3
LITTLEFINGER,TYRION,3
LORAS,TYRION,3
MACE,OLENNA,3
NED,TYRION,3
OLENNA,SANSA,3
OLENNA,TOMMEN,3
OLLY,TORMUND,3
PODRICK,TYWIN,3
PODRICK,VARYS,3
PYCELLE,SANSA,3
ROBB,SANSA,3
ROBERT,TYWIN,3
STANNIS,TOMMEN,3
VANCE_CORBRAY,YOHN_ROYCE,3
ADRACK_HUMBLE,RALF,2
AERYS,CERSEI,2
ALLISER_THORNE,CRASTER,2
ANYA_WAYNWOOD,ROBIN,2
ANYA_WAYNWOOD,VANCE_CORBRAY,2
ARYA,DONNEL_WAYNWOOD,2
ARYA,JAIME,2
ARYA,JAQEN,2
ARYA,LOMMY,2
ARYA,LYSA,2
ARYA,MERYN_TRANT,2
ARYA,SYRIO_FOREL,2
ARYA,TOMMY,2
AXELL_FLORENT,DAVOS,2
AXELL_FLORENT,STANNIS,2
BALON,ROOSE_BOLTON,2
BARRISTAN,CERSEI,2
BARRISTAN,GOATHERD,2
BARRISTAN,JOFFREY,2
BARRISTAN,VARYS,2
BITER,HOUND,2
BITER,RORGE,2
BOROS,JAIME,2
BRAN,RICKON,2
BRAN,SAM,2
BRIENNE,BRONN,2
BRIENNE,LORAS,2
BRIENNE,NED,2
BRONN,CERSEI,2
BRONN,TYWIN,2
BRONN,VARYS,2
CATELYN,JOFFREY,2
CATELYN,JON_ARRYN,2
CERSEI,MERYN_TRANT,2
CRASTER,HODOR,2
CRASTER,MANCE,2
DAENERYS,DROGO,2
DAENERYS,RHAEGAR,2
DAENERYS,VARYS,2
DAENERYS,VISERYS,2
DAVOS,EDDISON_TOLLETT,2
DAVOS,GRENN,2
DAVOS,MAESTER_AEMON,2
DAVOS,SAM,2
DORAN,OBERYN,2
DROGO,RHAEGAR,2
EDDISON_TOLLETT,MAESTER_AEMON,2
EDDISON_TOLLETT,MELISANDRE,2
EDDISON_TOLLETT,SELYSE,2
EDDISON_TOLLETT,SHIREEN,2
EDDISON_TOLLETT,STANNIS,2
ELLARIA,MACE,2
ELLARIA,MARGAERY,2
ELLARIA,SANSA,2
ELLARIA,VARYS,2
FENNESZ,MISSANDEI,2
GOATHERD,GREY_WORM,2
GOATHERD,JORAH,2
GRENN,MAESTER_AEMON,2
GRENN,MELISANDRE,2
GRENN,SELYSE,2
GRENN,SHIREEN,2
GRENN,STANNIS,2
GREY_WORM,MOSSADOR,2
GUYMON,STYR,2
HIZDAHR,JORAH,2
HODOR,NED,2
HOSTER,JON_ARRYN,2
HOSTER,LITTLEFINGER,2
HOUND,LOMMY,2
HOUND,MERYN_TRANT,2
HOUND,MOUNTAIN,2
HOUND,TOMMY,2
HOUND,VARYS,2
JAIME,NED,2
JAIME,PYCELLE,2
JANOS,LOCKE,2
JEOR,JON,2
JEOR,KARL_TANNER,2
JOFFREY,LYSA,2
JOFFREY,MERYN_TRANT,2
JOFFREY,ROBB,2
JOFFREY,VARYS,2
JOJEN,JON,2
JOJEN,LOCKE,2
JOJEN,RAST,2
JON,MELISANDRE,2
JON,QHORIN,2
JON,SELYSE,2
JON,SHIREEN,2
JON_ARRYN,ROBIN,2
JORAH,VARYS,2
LITTLEFINGER,TYWIN,2
LITTLEFINGER,VANCE_CORBRAY,2
LOCKE,MEERA,2
LOCKE,MORAG,2
LOCKE,RAST,2
LOCKE,ROOSE_BOLTON,2
LOCKE,SAM,2
LOCKE,SISSY,2
LOLLYS,TYRION,2
LORAS,OLENNA,2
LORAS,SANSA,2
MACE,MOUNTAIN,2
MACE,PODRICK,2
MAESTER_AEMON,MELISANDRE,2
MAESTER_AEMON,OLLY,2
MAESTER_AEMON,SELYSE,2
MAESTER_AEMON,SHIREEN,2
MAESTER_AEMON,STANNIS,2
MAREI,MORGAN,2
MAREI,SHAE,2
MAREI,TYRION,2
MARGAERY,PYCELLE,2
MEERA,NED,2
MEERA,RAST,2
MELISANDRE,SAM,2
MERYN_TRANT,SYRIO_FOREL,2
MERYN_TRANT,THEON,2
MOUNTAIN,POLLIVER,2
MOUNTAIN,SHAE,2
MYRCELLA,OBERYN,2
NED,ROBERT,2
NED,STANNIS,2
NED,YOHN_ROYCE,2
PODRICK,SHAE,2
POLLIVER,TOMMY,2
RALF,ROOSE_BOLTON,2
RAMSAY,RICKON,2
RAMSAY,ROBB,2
RANDYLL,SAM,2
ROBB,TYRION,2
ROBIN,TYRION,2
SAM,SELYSE,2
SAM,SHIREEN,2
SAM,STANNIS,2
SANSA,VANCE_CORBRAY,2
SANSA,VARYS,2
SANSA,WAYMAR_ROYCE,2
STANNIS,TYWIN,2
TOMMEN,TYCHO,2
TOMMEN,VARYS,2
TYCHO,TYWIN,2
